job_description_length,benefits_score,salary_usd
2292,6.0,84037
1895,7.9,104614
1777,8.0,103566
1887,9.4,69417
1984,5.8,27748
2030,8.4,245370
1875,8.2,86794
2448,9.3,58554
2336,9.6,152077
1703,5.5,152349
661,8.8,155935
572,6.8,299354
2021,9.4,112130
687,9.5,299005
1370,9.7,57697
568,6.7,140199
1172,5.8,107028
647,7.3,48978
1292,6.7,101366
510,7.8,79125
1861,9.8,51110
744,8.8,96374
830,8.3,92286
552,6.9,102456
1582,5.3,138420
1049,8.1,203654
2066,9.1,121706
2008,10.0,112939
2356,7.1,223145
1821,7.1,198959
2130,7.0,249841
1225,9.0,81300
1146,5.7,89201
543,8.3,123827
1990,5.3,321014
1481,6.2,195690
2164,9.9,88109
1732,5.5,93310
2049,9.7,180162
1915,8.2,324764
2453,6.9,57105
1707,7.3,131121
1598,9.4,87993
1681,7.7,77654
2173,5.2,47769
529,5.5,112750
2014,7.5,63413
702,8.4,96518
2160,9.5,136768
1728,6.7,143660
1794,5.8,122612
2418,9.6,224629
2208,8.2,110517
1972,5.7,78533
678,7.0,282152
886,6.8,240352
2072,7.5,87353
2032,6.4,201368
2442,6.5,102371
660,7.8,160729
1241,6.4,127341
1042,7.0,132125
2323,5.5,106892
1429,8.8,101740
1541,5.9,48965
1299,8.3,53173
1871,9.2,201645
649,6.2,47718
1555,9.6,358613
2353,6.2,96280
1397,5.5,87032
1799,7.3,112059
2334,9.2,115102
1247,9.0,271779
1891,6.6,66364
1013,7.9,131466
2078,6.4,42235
976,7.9,55844
2054,9.6,75499
1804,6.2,84962
1336,7.8,144336
800,9.1,52300
1741,6.2,157426
731,7.9,174692
1398,7.1,142293
2344,5.0,109818
583,7.9,69642
1086,9.1,70652
2038,6.0,242235
1352,6.8,211982
986,8.2,88077
1617,9.7,107261
1832,5.1,284132
1845,5.9,105482
1932,8.6,161728
1802,5.8,131352
1940,5.9,161727
845,7.1,151527
2413,8.7,112476
941,7.0,72913
805,8.5,68734
654,9.1,179564
2172,9.5,71265
1887,7.2,143064
911,7.3,196042
1521,7.1,101946
1497,9.2,89020
2405,8.8,134011
2240,8.9,97657
1020,5.7,153990
1117,5.5,124696
961,9.2,94884
1793,5.8,101192
2175,5.2,106624
1400,9.5,187401
2434,8.8,165694
2282,9.2,122206
519,7.7,91226
1970,5.9,110449
2299,5.4,275705
1061,5.9,161670
734,8.5,95328
1762,7.8,68548
2234,8.4,378502
643,10.0,76682
1436,9.4,108478
1095,5.8,114526
2109,9.9,75609
2348,8.8,214389
1398,5.3,104396
1249,6.0,53469
1000,6.5,327929
560,7.4,87984
1762,7.3,127823
582,5.1,93295
1775,7.5,25560
1446,8.5,110777
1970,5.0,253223
826,5.1,234867
1111,6.6,49385
977,6.3,59557
1764,7.6,95864
1099,9.7,217693
1864,9.9,108994
1965,8.1,75633
1004,9.7,62810
539,8.3,151628
2194,9.7,125355
1973,5.1,136102
1672,6.9,56934
1470,8.3,67190
2025,5.1,125164
646,8.2,85407
789,8.5,112057
1839,5.7,95078
2463,5.7,198651
731,7.3,220998
1926,7.5,74126
2261,8.5,75172
620,9.6,60975
2215,8.9,89175
1359,5.4,149285
1161,6.7,192204
1172,5.3,94197
892,7.1,90408
1913,8.1,72940
1774,5.6,140696
982,9.8,210902
586,5.0,78559
1442,9.2,32923
843,9.4,112363
852,8.9,188028
903,8.6,165794
2366,8.9,109778
721,5.5,162918
894,8.5,219603
2314,6.5,304991
1227,6.7,99431
1590,6.2,92131
1407,6.1,111236
870,6.3,263705
728,8.3,37401
1575,8.0,122481
1106,6.7,29050
1311,9.9,142280
2338,6.3,75989
2343,8.9,103477
1349,7.6,111121
1855,7.3,357359
683,5.3,107663
1599,6.6,83352
721,9.9,55431
825,7.7,149644
1352,5.2,94453
2359,6.0,40773
1023,8.7,94832
1927,7.9,66884
1846,6.3,222209
2025,7.4,181591
1790,7.0,70146
950,6.7,77528
2050,6.5,133696
970,5.3,266317
2156,9.3,171903
1624,8.8,134807
2071,6.0,123091
875,8.0,55885
1500,9.8,190416
2010,6.3,155137
1261,9.1,233502
1827,8.3,106241
602,5.6,170331
1336,7.6,190752
1143,8.3,57858
1266,9.6,60290
1998,9.9,78662
2060,6.3,68057
1541,5.8,152822
1746,9.3,168351
1427,5.8,280392
2251,6.2,165716
1284,9.0,187794
2112,9.0,245697
2121,7.8,79411
1511,5.3,117847
905,6.9,112962
2239,5.0,166397
1645,9.9,135988
1963,9.6,30929
2021,8.9,112165
1162,9.1,100758
2164,7.8,83754
2487,8.9,109895
1258,7.1,160760
2488,6.7,167415
515,7.4,58948
677,6.0,73406
1625,7.5,153534
577,5.9,81787
914,6.5,121967
2075,5.5,181438
635,7.3,60296
2243,5.6,64191
1137,7.4,96896
2258,5.2,78105
1282,8.0,71686
1119,5.0,148827
2487,8.2,92179
1175,6.1,75460
1494,9.8,146580
1575,6.3,68722
2340,5.4,60841
2022,9.1,49130
1100,9.1,162683
1822,8.9,151676
1543,8.9,140928
2458,6.8,140382
2128,6.7,179691
599,8.1,132280
783,7.9,90861
1574,9.5,102239
2350,5.4,71795
840,9.0,55230
1612,7.1,56030
1339,7.8,99246
2026,6.3,130136
856,6.7,51311
1203,9.1,59010
1275,7.4,139257
2039,8.6,50920
1586,7.0,116377
1975,7.1,101911
1305,9.3,92714
1023,5.0,83757
1955,5.2,88018
2470,6.3,51864
1038,9.4,96976
2046,6.7,120263
1369,5.7,178114
784,7.9,94379
1961,5.6,268149
1473,8.7,90472
1978,8.8,86547
2425,8.1,150700
1701,5.3,216740
624,9.7,59227
2007,7.3,163281
1348,6.9,66305
1300,6.6,126408
1552,9.6,144024
2105,8.1,108805
837,8.9,79093
1210,7.9,295893
1006,5.2,83000
665,9.8,80124
1975,9.8,69336
1526,6.9,42380
1201,7.7,149450
1105,5.8,285891
1921,9.3,75240
1442,8.3,124786
1570,5.6,109043
864,6.6,89035
1090,10.0,190529
1366,9.7,169009
530,8.6,48714
1792,9.2,97541
2224,7.1,144493
1524,9.7,185421
1681,8.4,287164
952,7.3,120968
1460,6.7,135171
561,9.3,129545
984,6.1,97794
1959,7.5,145395
1581,7.2,204217
1517,9.4,98702
2257,10.0,99895
2391,8.7,135571
1518,9.2,119266
1353,9.6,110844
2348,6.1,145736
1449,9.7,232735
2274,6.2,56990
1672,6.0,169605
793,5.2,145138
587,9.2,139121
1081,6.8,178631
2414,7.3,90723
1659,7.2,49069
1446,5.6,68202
1460,5.8,116676
609,6.8,153139
1147,5.1,131402
1342,6.4,54607
2022,9.7,71774
721,5.4,110765
1528,7.7,265991
1589,7.2,83839
678,8.0,236251
962,7.5,241129
1205,6.5,159083
1490,9.1,103506
2289,8.2,232495
779,5.1,112744
1268,5.7,129622
683,8.2,100903
1577,9.7,238019
991,8.0,41302
1579,7.8,128647
1102,5.6,52696
629,8.8,229071
528,7.8,215282
908,5.5,199110
786,8.5,75004
821,9.5,149575
1452,5.4,138904
1637,8.8,133658
2122,5.7,148968
885,5.9,87661
2033,6.8,235575
1435,7.1,195175
2002,9.3,143318
1849,7.7,102959
1029,7.5,90379
1537,6.2,71203
1619,8.6,177188
938,5.6,95416
1762,7.2,89044
1563,6.9,78263
1880,10.0,231654
2359,5.5,149046
537,7.0,84232
527,7.4,94348
2263,8.5,128839
2187,9.3,166829
599,7.4,67959
812,9.3,80303
2112,7.4,104350
589,8.1,146664
1840,9.0,119423
2450,6.1,31988
1461,9.7,94563
953,7.9,85269
1931,9.9,87092
2487,5.1,75721
634,5.9,158003
2153,6.9,189198
1413,7.1,57287
865,8.1,116891
1812,6.6,86678
686,7.1,237261
2373,7.2,340350
1159,7.7,143376
1213,6.8,212213
1701,5.8,147392
1022,6.5,93630
1864,6.4,99867
2095,5.0,167900
1077,8.5,113585
1715,8.2,88040
2055,7.0,234891
1296,7.5,55689
1600,8.8,192002
703,6.5,88478
2390,5.4,233768
1628,9.6,394510
2313,7.4,96275
852,8.7,67084
1777,7.0,87326
1733,7.3,88829
2039,8.5,110532
562,9.6,60357
1191,9.6,315064
2054,5.4,70097
1962,7.4,117235
692,8.3,65851
1495,8.2,84191
1564,8.4,134590
2364,8.3,139686
1761,5.9,115226
736,9.2,262115
517,5.4,111532
1026,5.4,267795
1183,6.6,63052
1220,9.2,54424
2163,9.4,67908
1312,7.8,115395
2397,8.7,122516
1725,9.3,118846
705,9.3,98835
1782,8.3,295640
769,9.6,136359
1415,9.3,187425
1272,6.8,91932
1482,9.7,71409
1628,5.1,48739
910,6.1,61632
1612,6.4,98216
1922,7.3,104633
1928,9.8,41990
2000,7.7,238728
1268,8.0,329444
1280,7.4,70081
1022,7.1,288084
2126,5.5,65282
1915,7.4,126052
1375,7.5,247685
603,5.5,80022
2460,8.6,96062
960,8.7,174460
897,8.4,183335
2274,6.2,223437
1564,7.1,177360
1130,6.4,206532
715,6.3,112216
1550,6.1,55817
1346,6.5,324267
1473,5.6,76065
1337,7.4,146849
722,5.5,81041
615,9.4,106945
553,8.4,329543
834,7.2,92316
1511,6.9,209495
1552,6.7,201545
2048,6.1,122321
1544,9.1,120647
1670,5.3,56584
2319,8.0,143314
2280,5.4,130879
1232,5.5,79223
1802,8.8,145545
947,9.2,100393
777,6.0,197280
1674,10.0,88090
582,7.3,69911
1989,6.5,218971
2214,7.6,79860
2230,5.7,118343
2222,6.0,142832
1382,9.6,103304
1452,8.0,51555
562,5.8,33564
777,9.4,46733
1573,9.4,163489
830,9.8,127499
1703,5.1,169543
966,9.9,252321
1553,6.1,83888
2450,7.8,117983
824,7.7,153305
1976,6.1,112643
875,8.6,64605
819,7.0,62679
2361,9.0,161602
1138,8.4,124703
1274,7.5,200853
2324,5.3,34021
2458,9.4,90355
1383,5.1,63360
1306,6.1,185352
591,9.9,85462
2480,9.5,119183
1029,6.1,116244
1944,9.3,287291
688,9.9,160191
1085,8.7,207916
1269,5.2,215737
1540,8.3,89008
1762,5.3,122155
1018,7.9,40715
870,6.6,188499
1237,9.7,181167
1646,7.9,137580
623,8.2,81092
2468,7.6,167011
1357,6.2,115690
1877,9.6,85081
2392,5.3,204925
1304,5.3,71330
2488,7.0,147961
1123,8.1,81537
1444,7.0,169303
2459,7.1,79345
975,7.4,141710
738,5.5,176540
1818,8.4,75872
1101,5.7,39100
748,5.4,60610
1749,7.9,64997
1863,9.6,79831
2180,7.3,75434
1899,5.7,135956
689,9.9,91194
1620,10.0,182045
1182,7.8,143858
1587,6.2,135781
1738,6.3,151948
748,9.3,97414
1984,6.4,44257
542,8.9,183099
721,9.4,66978
874,7.2,58844
865,5.7,86679
2191,8.4,102607
1949,9.6,117860
1959,10.0,53776
2075,7.7,22245
527,8.3,86753
1565,6.9,59445
2148,9.1,181623
1126,8.6,23848
1445,8.8,67555
2253,7.0,156672
1790,5.8,99310
735,8.3,106468
762,7.5,133549
1992,7.7,101850
1694,6.9,135555
1290,9.4,194650
526,7.4,48184
883,8.9,102143
1303,8.0,130584
1376,8.8,197290
2185,5.4,57552
1112,5.6,138325
1204,5.1,62787
1719,6.3,96898
2046,9.9,101690
2196,7.8,104342
1334,5.8,182831
1819,5.2,65362
1595,8.6,116249
2202,8.0,181065
739,9.3,110326
1264,8.0,113275
821,6.7,86720
1973,6.3,88527
1666,8.4,75281
668,10.0,63784
1733,8.6,140500
782,7.9,30726
592,8.7,242789
2410,9.6,126827
845,9.4,77753
1899,9.7,204502
1199,7.6,76869
2010,5.4,128192
1540,7.4,234782
2207,5.9,243016
2321,7.9,232932
1275,7.3,157713
893,9.7,78731
2228,9.6,118802
1655,7.2,86119
1578,5.8,148519
1378,5.2,48058
1399,5.9,68183
2094,9.5,237151
1479,9.9,95252
1946,6.1,142166
1211,7.3,107965
602,9.1,239943
543,7.4,287023
1050,5.9,108794
2314,6.1,91776
709,5.4,61890
1012,6.6,345294
2033,7.4,78569
1825,8.6,66673
686,9.1,183500
913,6.0,165234
1344,5.7,119549
1066,8.3,325936
908,8.5,157221
1650,6.7,98221
503,9.5,155502
1457,8.7,276679
2439,7.9,187955
2302,5.1,135585
1468,7.3,138945
914,5.3,89723
2179,5.3,74250
2485,7.7,209546
1088,7.9,137463
1808,6.4,83657
1128,7.5,120560
1585,8.6,87119
1154,8.8,71418
1896,6.9,46727
2008,6.4,164321
2267,9.9,80460
2131,9.8,99510
1347,8.8,145409
1420,9.2,289465
797,8.8,85216
1630,8.8,88921
1121,5.5,65144
2139,6.6,103403
1567,5.2,121368
2457,9.6,168109
2010,5.9,40616
1045,9.8,176886
1812,9.7,107548
1078,6.0,313203
679,5.0,147571
1371,8.0,239432
546,5.9,119559
2394,6.0,72051
845,7.2,80766
505,6.5,75201
1732,6.1,367330
1530,9.4,99824
1295,9.9,183643
2499,8.1,86875
1907,5.0,92050
1395,7.2,188547
1829,5.7,93400
799,6.4,121492
1629,7.4,214716
1746,6.7,96552
1435,6.3,82126
926,5.5,101793
908,6.3,119593
848,9.6,83380
821,6.8,104077
2162,6.2,107155
1404,8.3,95613
2279,9.7,79915
2225,5.8,152836
1814,7.9,201144
1384,5.9,74068
1711,5.7,94861
1229,7.5,89534
2092,7.5,121009
2120,7.1,98503
2014,6.8,92133
1043,8.9,108765
659,6.1,93440
1741,9.5,88745
1015,7.6,105976
1905,5.3,59221
2259,7.8,61996
1535,6.2,90426
2378,7.5,60924
1815,9.0,243192
2264,9.3,166087
2477,5.6,85173
749,5.1,309247
1461,5.2,121556
617,8.0,89998
1601,5.4,63415
1070,6.9,132964
2192,5.1,65099
1497,9.6,170410
987,6.4,25440
647,5.0,173489
1487,5.8,216939
894,9.4,117695
1081,9.0,78936
1471,5.9,113661
744,9.8,226030
862,5.5,162220
567,9.5,165689
1950,6.0,319536
985,7.9,97294
2181,9.4,94506
644,7.3,122519
1639,5.1,61916
756,5.2,78823
1021,8.5,111124
972,8.5,91289
1789,7.0,195659
1254,8.1,199412
2135,6.4,202421
2382,8.0,133682
2193,9.1,205143
968,9.3,27765
2089,8.0,170181
1873,8.0,103167
1532,7.2,194546
2006,5.4,130072
1770,6.7,39197
2389,8.5,204421
1221,5.7,112925
2270,5.4,265788
1648,7.6,98150
1974,5.9,126741
1642,7.3,75006
2188,7.5,84346
2398,9.9,48241
2201,9.8,162681
2284,5.9,125204
1825,6.5,140001
565,5.4,162125
1112,6.2,128132
1301,9.3,225554
1996,6.9,130639
1765,5.4,66422
1946,5.7,54625
998,7.5,135145
1465,6.8,61177
954,6.8,74961
985,9.4,47280
1955,6.1,141577
691,8.4,130504
1782,8.9,107421
803,5.2,93042
1693,9.7,168047
1739,7.1,27281
954,9.2,99145
1557,8.6,121002
1416,5.0,259814
1826,7.0,209072
501,6.5,50802
875,8.7,112292
1651,6.2,255076
1146,5.1,75393
984,9.6,96519
736,8.7,135767
914,6.9,169082
2243,5.6,91630
2023,8.9,172863
1242,8.9,103897
1303,5.8,93834
1608,7.3,53634
926,6.4,127594
2345,8.2,292915
2090,6.6,174020
1279,7.6,88526
734,9.8,74475
1393,7.3,96427
1937,8.2,225810
929,6.5,168512
1479,5.4,168159
1951,7.1,59148
1364,6.8,65802
903,6.5,110206
1685,7.2,149976
2328,7.2,179731
1572,6.3,148216
1809,6.1,69697
1620,9.0,193479
858,8.8,27327
2179,10.0,175817
1656,9.9,79605
1763,9.8,136610
1474,7.0,54165
1171,6.9,82548
1619,9.1,149033
1601,9.1,26672
859,6.4,103610
2189,8.2,59901
2085,5.6,84403
2164,7.5,235236
1005,5.2,140841
2217,5.6,64188
1249,5.2,140677
801,6.9,275555
1540,9.6,174133
1226,8.1,49918
1244,7.3,211602
2314,6.2,192792
1268,9.4,70846
1828,10.0,93783
2158,6.6,41072
1000,9.9,102805
1063,8.1,113537
1490,9.2,73590
649,9.1,96582
723,5.1,62705
2444,7.0,77955
2443,7.5,129874
1589,7.3,106907
976,8.9,110152
1580,8.8,49922
2159,9.2,84890
1702,7.5,73564
1756,8.8,196201
1881,5.6,164425
2218,7.2,158518
609,8.4,137246
1335,9.6,222330
1797,5.2,73721
553,9.4,125284
515,5.2,266424
559,7.0,158788
799,5.1,99628
1166,9.0,52727
2320,7.9,38473
955,7.8,64133
844,8.4,47110
524,8.8,71783
1929,8.3,83829
1221,5.7,91511
1815,9.5,198095
2040,6.2,119407
2032,6.5,87493
1573,7.9,121335
2451,8.5,289174
547,9.6,154280
2467,7.4,62297
1979,8.8,114311
1096,7.4,163458
678,8.4,107211
1219,6.1,136382
1495,7.3,249477
1493,8.0,177617
2209,9.8,66870
1560,6.2,79882
1176,8.2,114997
885,6.6,67556
556,8.3,50726
2065,6.6,45956
2366,7.0,29934
1673,8.1,89070
1581,8.6,123195
1328,7.3,83392
2485,6.9,241040
860,8.1,226924
2356,8.7,28173
1317,7.6,96863
2007,7.3,126853
1193,9.5,143421
642,6.2,20785
989,9.1,67394
1503,6.1,93436
2378,9.6,95063
626,7.2,167478
2301,9.1,139198
2486,8.5,215699
1069,9.4,138827
1008,7.3,79327
2355,9.0,70002
1783,6.7,85342
2269,5.3,116683
2085,5.1,127338
1833,6.7,80026
2219,5.9,119475
1757,5.6,254552
1898,9.3,118245
2230,9.3,117254
617,9.1,256695
1201,9.4,188203
887,7.7,191049
646,7.7,75973
2458,9.0,205143
1281,6.1,92600
526,7.3,307696
2369,6.6,289667
1083,6.1,104108
2416,6.6,85459
1362,9.7,48088
1227,9.4,103764
693,6.1,135128
1943,7.9,78044
1506,6.6,77226
943,7.9,149651
2012,9.6,183833
532,5.7,104425
1137,6.6,163323
831,7.2,136850
1514,6.0,133658
2290,5.8,168161
1525,6.3,87945
2451,9.6,150603
1963,9.0,41667
1836,7.5,270857
2044,9.0,70021
2134,9.4,180120
1754,8.9,109592
2176,7.6,248395
2272,9.4,166428
1013,7.7,64110
736,5.6,89254
1963,8.9,89632
2179,9.7,94147
2028,5.3,95536
1759,6.7,128104
617,6.5,224736
1834,9.4,132221
1360,6.3,107463
1322,8.4,200093
1398,5.9,168952
1821,5.2,223789
808,9.6,121814
2221,5.7,188710
1750,9.6,73645
2123,10.0,167924
2335,5.9,104995
2420,7.4,319365
592,7.2,120902
2028,7.9,93958
2354,6.1,204959
972,7.4,45750
2281,5.6,191169
701,8.8,187320
1433,8.3,45995
2162,9.9,189388
1143,8.0,77764
604,8.0,70260
706,7.7,59125
1359,8.5,85915
1023,6.3,161147
1826,9.6,145874
1539,7.1,41928
974,8.9,244108
861,6.6,74765
778,7.1,111797
1154,9.1,129173
1872,9.3,109849
2197,9.2,86314
2272,6.1,134718
2107,8.3,146659
1385,6.5,207301
752,8.8,86551
1462,10.0,101086
972,8.4,243742
1021,9.7,45910
1029,6.7,165181
2432,6.8,47299
1184,5.0,69234
2138,5.7,95021
1258,6.5,27279
1743,7.5,74665
765,6.9,105569
1316,5.8,75073
691,7.1,185794
987,9.1,222006
1899,9.6,95988
1590,5.9,75420
1278,9.1,56066
1150,6.6,34199
1501,6.8,123046
1240,6.6,155715
1191,6.2,135052
1731,9.7,139723
2157,5.9,126789
1755,6.8,51041
2260,7.9,66473
1844,8.2,82798
2313,5.3,208808
1407,7.8,85454
1468,6.5,312926
1081,9.1,112468
570,6.7,184835
1743,9.4,114775
1436,6.4,87755
2480,5.1,226988
2171,7.1,109751
835,7.9,110714
2026,5.8,243320
964,8.2,137660
2016,10.0,101137
723,6.9,76750
810,7.1,225610
818,6.3,250681
1104,5.4,68073
2321,6.2,83363
515,9.9,82241
688,8.3,70446
703,5.6,91327
1197,9.6,39389
2353,5.8,81525
604,5.3,64441
1911,5.5,154936
1989,9.7,252651
1984,6.7,85211
1985,5.6,75989
1992,8.5,81874
1302,10.0,159436
762,8.9,116597
2347,8.3,123943
1546,7.3,142168
1063,7.7,145212
2362,6.0,150880
521,8.6,78416
2462,5.7,167446
2072,6.3,136891
1179,7.5,56186
1473,8.2,89015
635,6.8,101256
1775,8.2,223846
1486,8.3,89705
2301,6.6,173178
2295,9.7,119123
1349,8.2,205428
2346,7.6,107614
824,5.4,96395
1658,7.3,113420
1245,9.2,186496
508,8.3,212359
1577,5.6,48963
1615,5.7,84644
1076,9.3,129200
2118,7.4,131449
2339,9.5,37726
652,6.5,147408
1978,8.5,68165
1117,6.7,153774
546,9.0,139995
2177,8.8,126306
1101,5.8,142937
1738,5.9,157493
558,8.5,81840
2435,9.3,120340
2347,9.6,133498
1845,7.9,168321
552,6.2,128450
1601,7.9,71869
1229,5.0,86340
1706,8.6,73047
1314,9.1,125916
2439,5.2,107722
1841,9.7,100220
877,9.3,141420
2494,6.5,43276
937,9.9,101313
897,7.5,238881
984,6.0,144471
2151,5.9,71781
1662,5.8,34334
526,9.8,59699
560,6.5,74398
1575,7.8,114132
1031,5.3,82988
2210,8.1,129184
1608,9.1,122761
2453,7.3,176080
2323,6.5,132322
1183,8.8,220734
1745,5.2,210396
1142,5.7,178095
1235,5.1,130897
1960,5.7,278652
2150,6.3,241681
962,7.7,108165
1144,9.4,37809
848,9.8,59161
2168,8.9,65717
686,9.2,131415
2397,8.6,165177
898,5.9,134710
1623,6.0,132331
2291,5.2,25085
1081,8.4,81436
1652,9.7,121581
1219,8.0,85043
2283,7.1,77847
2496,7.4,112294
1250,7.6,118482
2180,8.7,76423
2048,8.5,66969
2325,8.4,88996
808,8.6,67741
1848,5.4,104123
1881,8.5,52117
2188,9.9,107002
867,7.3,171421
1617,9.4,102160
708,9.2,78797
2064,6.2,143483
1751,7.0,224567
2451,7.8,141545
838,6.1,56427
2031,7.2,90510
1226,7.8,158669
746,5.1,74539
2301,9.2,124395
2132,7.0,174114
1102,9.8,321202
1664,8.2,73469
1349,7.3,142197
1625,7.9,157699
801,5.1,101213
1053,9.3,84729
2211,10.0,87739
1586,8.1,30121
2096,5.6,100916
1348,6.9,55277
858,7.3,113420
664,8.1,50194
1997,9.2,98859
555,7.2,195373
2430,5.8,150038
2271,9.1,46960
1511,7.0,256508
868,5.9,123766
1039,6.2,138655
1320,9.4,112307
1493,8.0,75008
2322,5.3,72038
1720,7.3,141038
542,8.3,113496
1494,5.8,100144
1609,8.3,210470
2141,7.4,66974
1033,6.7,137007
2267,8.8,80135
2352,9.9,158546
1493,7.2,194317
2305,6.9,83493
1541,5.3,104222
2345,6.9,49854
2403,9.8,158519
2239,6.3,180734
2341,5.4,261993
950,9.8,98054
2095,8.2,82903
1642,8.2,121557
1912,6.7,172640
1627,9.2,122704
2416,5.8,60832
635,7.2,134265
508,5.4,65618
1749,9.3,104745
652,9.0,53253
1849,7.0,166691
2428,7.0,146267
530,9.7,97969
874,6.2,206614
2076,5.7,78327
912,7.1,70510
2227,9.7,41791
1284,7.9,115800
1096,8.5,113860
1181,8.7,181595
2191,5.6,157567
1416,9.2,124885
1656,8.0,123910
732,7.8,137838
1940,6.7,313735
1399,9.0,96380
561,8.8,63171
1527,9.8,123969
865,9.0,54611
1556,7.2,119705
927,8.2,173697
1806,5.8,144553
2125,8.3,76409
1947,8.4,105022
1479,7.6,147919
740,5.3,105054
1976,5.5,168883
1770,6.6,54905
1326,8.6,73214
2026,7.2,75589
1865,6.6,104795
1072,9.7,19456
1697,10.0,212599
963,6.7,63226
2133,5.8,188891
1381,6.3,45335
1203,6.5,114078
1585,5.9,221905
1878,7.1,34898
882,7.1,288283
1123,9.0,75188
1009,7.4,87149
2308,7.0,91150
2052,9.9,126040
1706,7.0,187737
2147,7.7,125535
730,9.4,373536
1200,10.0,100732
615,9.5,212371
1943,8.2,65466
1841,5.3,109204
1794,8.9,72736
