company_size,salary_usd,benefits_score,company_size_encoded
S,52300,9.1,2
S,157426,6.2,2
M,174692,7.9,1
L,142293,7.1,0
S,109818,5.0,2
M,69642,7.9,1
S,70652,9.1,2
L,242235,6.0,0
S,211982,6.8,2
L,88077,8.2,0
L,107261,9.7,0
M,284132,5.1,1
M,105482,5.9,1
S,161728,8.6,2
S,131352,5.8,2
L,161727,5.9,0
L,151527,7.1,0
L,112476,8.7,0
M,72913,7.0,1
L,68734,8.5,0
S,179564,9.1,2
S,71265,9.5,2
L,143064,7.2,0
L,196042,7.3,0
S,101946,7.1,2
S,89020,9.2,2
S,134011,8.8,2
M,97657,8.9,1
M,153990,5.7,1
S,124696,5.5,2
S,94884,9.2,2
M,101192,5.8,1
M,106624,5.2,1
M,187401,9.5,1
M,165694,8.8,1
M,122206,9.2,1
L,91226,7.7,0
S,110449,5.9,2
L,275705,5.4,0
M,161670,5.9,1
S,95328,8.5,2
M,68548,7.8,1
L,378502,8.4,0
S,76682,10.0,2
L,108478,9.4,0
M,114526,5.8,1
S,75609,9.9,2
L,214389,8.8,0
S,104396,5.3,2
M,53469,6.0,1
L,327929,6.5,0
S,87984,7.4,2
S,127823,7.3,2
M,93295,5.1,1
M,25560,7.5,1
L,110777,8.5,0
M,253223,5.0,1
M,234867,5.1,1
S,49385,6.6,2
L,59557,6.3,0
S,95864,7.6,2
L,217693,9.7,0
L,108994,9.9,0
S,75633,8.1,2
S,62810,9.7,2
S,151628,8.3,2
M,125355,9.7,1
M,136102,5.1,1
L,56934,6.9,0
S,67190,8.3,2
L,125164,5.1,0
L,85407,8.2,0
S,112057,8.5,2
M,95078,5.7,1
M,198651,5.7,1
S,220998,7.3,2
S,74126,7.5,2
S,75172,8.5,2
L,60975,9.6,0
L,89175,8.9,0
L,149285,5.4,0
M,192204,6.7,1
S,94197,5.3,2
L,90408,7.1,0
S,72940,8.1,2
S,140696,5.6,2
S,210902,9.8,2
M,78559,5.0,1
M,32923,9.2,1
S,112363,9.4,2
L,188028,8.9,0
S,165794,8.6,2
L,109778,8.9,0
L,162918,5.5,0
M,219603,8.5,1
L,304991,6.5,0
S,99431,6.7,2
L,92131,6.2,0
M,111236,6.1,1
M,263705,6.3,1
S,37401,8.3,2
L,122481,8.0,0
L,29050,6.7,0
L,142280,9.9,0
L,75989,6.3,0
S,103477,8.9,2
S,111121,7.6,2
M,357359,7.3,1
L,107663,5.3,0
S,83352,6.6,2
S,55431,9.9,2
M,149644,7.7,1
S,94453,5.2,2
M,40773,6.0,1
L,94832,8.7,0
L,66884,7.9,0
L,222209,6.3,0
S,181591,7.4,2
M,70146,7.0,1
M,77528,6.7,1
M,133696,6.5,1
M,266317,5.3,1
L,171903,9.3,0
M,134807,8.8,1
S,123091,6.0,2
S,55885,8.0,2
S,190416,9.8,2
S,155137,6.3,2
L,233502,9.1,0
L,106241,8.3,0
L,170331,5.6,0
M,190752,7.6,1
S,57858,8.3,2
M,60290,9.6,1
L,78662,9.9,0
S,68057,6.3,2
M,152822,5.8,1
L,168351,9.3,0
M,280392,5.8,1
L,165716,6.2,0
M,187794,9.0,1
L,245697,9.0,0
S,79411,7.8,2
L,117847,5.3,0
M,112962,6.9,1
L,166397,5.0,0
M,135988,9.9,1
M,30929,9.6,1
M,112165,8.9,1
M,100758,9.1,1
L,83754,7.8,0
S,109895,8.9,2
M,160760,7.1,1
L,167415,6.7,0
L,58948,7.4,0
L,73406,6.0,0
L,153534,7.5,0
M,81787,5.9,1
L,121967,6.5,0
S,181438,5.5,2
L,60296,7.3,0
M,64191,5.6,1
S,96896,7.4,2
M,78105,5.2,1
S,71686,8.0,2
M,148827,5.0,1
S,92179,8.2,2
M,75460,6.1,1
M,146580,9.8,1
S,68722,6.3,2
S,60841,5.4,2
S,49130,9.1,2
L,162683,9.1,0
M,151676,8.9,1
M,140928,8.9,1
M,140382,6.8,1
S,179691,6.7,2
L,132280,8.1,0
S,90861,7.9,2
L,102239,9.5,0
M,71795,5.4,1
L,55230,9.0,0
M,56030,7.1,1
L,99246,7.8,0
M,130136,6.3,1
S,51311,6.7,2
S,59010,9.1,2
L,139257,7.4,0
S,50920,8.6,2
L,116377,7.0,0
M,101911,7.1,1
L,92714,9.3,0
L,83757,5.0,0
L,88018,5.2,0
S,51864,6.3,2
L,96976,9.4,0
M,120263,6.7,1
S,178114,5.7,2
L,94379,7.9,0
M,268149,5.6,1
L,90472,8.7,0
S,86547,8.8,2
L,150700,8.1,0
S,216740,5.3,2
M,59227,9.7,1
L,163281,7.3,0
S,66305,6.9,2
L,126408,6.6,0
L,144024,9.6,0
M,108805,8.1,1
M,79093,8.9,1
S,295893,7.9,2
M,83000,5.2,1
M,80124,9.8,1
L,69336,9.8,0
L,42380,6.9,0
M,149450,7.7,1
S,285891,5.8,2
L,75240,9.3,0
M,124786,8.3,1
S,109043,5.6,2
S,89035,6.6,2
M,190529,10.0,1
M,169009,9.7,1
S,48714,8.6,2
S,97541,9.2,2
M,144493,7.1,1
S,185421,9.7,2
L,287164,8.4,0
S,120968,7.3,2
S,135171,6.7,2
L,129545,9.3,0
L,97794,6.1,0
M,145395,7.5,1
M,204217,7.2,1
L,98702,9.4,0
S,99895,10.0,2
S,135571,8.7,2
L,119266,9.2,0
L,110844,9.6,0
L,145736,6.1,0
M,232735,9.7,1
L,56990,6.2,0
M,169605,6.0,1
L,145138,5.2,0
L,139121,9.2,0
S,178631,6.8,2
S,90723,7.3,2
M,49069,7.2,1
L,68202,5.6,0
L,116676,5.8,0
L,153139,6.8,0
S,131402,5.1,2
M,54607,6.4,1
S,71774,9.7,2
S,110765,5.4,2
L,265991,7.7,0
L,83839,7.2,0
L,236251,8.0,0
M,241129,7.5,1
L,159083,6.5,0
L,103506,9.1,0
M,232495,8.2,1
L,112744,5.1,0
L,129622,5.7,0
S,100903,8.2,2
M,238019,9.7,1
L,41302,8.0,0
S,128647,7.8,2
S,52696,5.6,2
L,229071,8.8,0
M,215282,7.8,1
S,199110,5.5,2
L,75004,8.5,0
L,149575,9.5,0
S,138904,5.4,2
L,133658,8.8,0
S,148968,5.7,2
S,87661,5.9,2
L,235575,6.8,0
S,195175,7.1,2
M,143318,9.3,1
L,102959,7.7,0
S,90379,7.5,2
M,71203,6.2,1
S,177188,8.6,2
M,95416,5.6,1
L,89044,7.2,0
M,78263,6.9,1
M,231654,10.0,1
L,149046,5.5,0
S,84232,7.0,2
S,94348,7.4,2
M,128839,8.5,1
L,166829,9.3,0
M,67959,7.4,1
M,80303,9.3,1
S,104350,7.4,2
L,146664,8.1,0
M,119423,9.0,1
M,31988,6.1,1
L,94563,9.7,0
L,85269,7.9,0
L,87092,9.9,0
L,75721,5.1,0
L,158003,5.9,0
M,189198,6.9,1
M,57287,7.1,1
L,116891,8.1,0
S,86678,6.6,2
L,237261,7.1,0
L,340350,7.2,0
S,143376,7.7,2
M,212213,6.8,1
L,147392,5.8,0
S,93630,6.5,2
M,99867,6.4,1
L,167900,5.0,0
S,113585,8.5,2
M,88040,8.2,1
L,234891,7.0,0
L,55689,7.5,0
S,192002,8.8,2
L,88478,6.5,0
M,233768,5.4,1
L,394510,9.6,0
S,96275,7.4,2
M,67084,8.7,1
M,87326,7.0,1
M,88829,7.3,1
M,110532,8.5,1
L,60357,9.6,0
S,315064,9.6,2
S,70097,5.4,2
M,117235,7.4,1
S,65851,8.3,2
M,84191,8.2,1
M,134590,8.4,1
M,139686,8.3,1
L,115226,5.9,0
L,262115,9.2,0
S,111532,5.4,2
M,267795,5.4,1
M,63052,6.6,1
S,54424,9.2,2
M,67908,9.4,1
S,115395,7.8,2
S,122516,8.7,2
S,118846,9.3,2
M,98835,9.3,1
M,295640,8.3,1
M,136359,9.6,1
L,187425,9.3,0
M,91932,6.8,1
L,71409,9.7,0
S,48739,5.1,2
S,61632,6.1,2
S,98216,6.4,2
S,104633,7.3,2
L,41990,9.8,0
S,238728,7.7,2
M,329444,8.0,1
L,70081,7.4,0
L,288084,7.1,0
S,65282,5.5,2
S,126052,7.4,2
M,247685,7.5,1
M,80022,5.5,1
L,96062,8.6,0
L,174460,8.7,0
M,183335,8.4,1
M,223437,6.2,1
L,177360,7.1,0
M,206532,6.4,1
L,112216,6.3,0
S,55817,6.1,2
L,324267,6.5,0
S,76065,5.6,2
M,146849,7.4,1
M,81041,5.5,1
L,106945,9.4,0
L,329543,8.4,0
S,92316,7.2,2
S,209495,6.9,2
L,201545,6.7,0
S,122321,6.1,2
L,120647,9.1,0
S,56584,5.3,2
S,143314,8.0,2
M,130879,5.4,1
S,79223,5.5,2
M,145545,8.8,1
L,100393,9.2,0
S,197280,6.0,2
M,88090,10.0,1
S,69911,7.3,2
M,218971,6.5,1
L,79860,7.6,0
M,118343,5.7,1
L,142832,6.0,0
S,103304,9.6,2
M,51555,8.0,1
L,33564,5.8,0
S,46733,9.4,2
L,163489,9.4,0
M,127499,9.8,1
L,169543,5.1,0
L,252321,9.9,0
M,83888,6.1,1
M,117983,7.8,1
M,153305,7.7,1
S,112643,6.1,2
S,64605,8.6,2
S,62679,7.0,2
L,161602,9.0,0
M,124703,8.4,1
M,200853,7.5,1
S,34021,5.3,2
M,90355,9.4,1
M,63360,5.1,1
S,185352,6.1,2
L,85462,9.9,0
L,119183,9.5,0
M,116244,6.1,1
S,287291,9.3,2
S,160191,9.9,2
M,207916,8.7,1
S,215737,5.2,2
L,89008,8.3,0
S,122155,5.3,2
L,40715,7.9,0
S,188499,6.6,2
M,181167,9.7,1
M,137580,7.9,1
L,81092,8.2,0
M,167011,7.6,1
M,115690,6.2,1
M,85081,9.6,1
S,204925,5.3,2
M,71330,5.3,1
M,147961,7.0,1
M,81537,8.1,1
M,169303,7.0,1
L,79345,7.1,0
S,141710,7.4,2
S,176540,5.5,2
S,75872,8.4,2
M,39100,5.7,1
S,60610,5.4,2
L,64997,7.9,0
S,79831,9.6,2
L,75434,7.3,0
M,135956,5.7,1
S,91194,9.9,2
S,182045,10.0,2
M,143858,7.8,1
M,135781,6.2,1
L,151948,6.3,0
S,97414,9.3,2
M,44257,6.4,1
M,183099,8.9,1
M,66978,9.4,1
S,58844,7.2,2
L,86679,5.7,0
L,102607,8.4,0
S,117860,9.6,2
M,53776,10.0,1
S,22245,7.7,2
S,86753,8.3,2
S,59445,6.9,2
L,181623,9.1,0
S,23848,8.6,2
L,67555,8.8,0
L,156672,7.0,0
S,99310,5.8,2
S,106468,8.3,2
L,133549,7.5,0
L,101850,7.7,0
L,135555,6.9,0
M,194650,9.4,1
S,48184,7.4,2
S,102143,8.9,2
L,130584,8.0,0
M,197290,8.8,1
M,57552,5.4,1
M,138325,5.6,1
S,62787,5.1,2
M,96898,6.3,1
S,101690,9.9,2
L,104342,7.8,0
S,182831,5.8,2
L,65362,5.2,0
M,116249,8.6,1
S,181065,8.0,2
S,110326,9.3,2
M,113275,8.0,1
S,86720,6.7,2
M,88527,6.3,1
M,75281,8.4,1
L,63784,10.0,0
L,140500,8.6,0
L,30726,7.9,0
M,242789,8.7,1
S,126827,9.6,2
M,77753,9.4,1
S,204502,9.7,2
S,76869,7.6,2
S,128192,5.4,2
M,234782,7.4,1
S,243016,5.9,2
L,232932,7.9,0
L,157713,7.3,0
S,78731,9.7,2
L,118802,9.6,0
M,86119,7.2,1
M,148519,5.8,1
S,48058,5.2,2
M,68183,5.9,1
S,237151,9.5,2
S,95252,9.9,2
L,142166,6.1,0
S,107965,7.3,2
L,239943,9.1,0
L,287023,7.4,0
L,108794,5.9,0
M,91776,6.1,1
L,61890,5.4,0
L,345294,6.6,0
L,78569,7.4,0
M,66673,8.6,1
M,183500,9.1,1
M,165234,6.0,1
L,119549,5.7,0
L,325936,8.3,0
L,157221,8.5,0
L,98221,6.7,0
M,155502,9.5,1
L,276679,8.7,0
S,187955,7.9,2
L,135585,5.1,0
L,138945,7.3,0
S,89723,5.3,2
L,74250,5.3,0
M,209546,7.7,1
S,137463,7.9,2
L,83657,6.4,0
M,120560,7.5,1
S,87119,8.6,2
L,71418,8.8,0
S,46727,6.9,2
S,164321,6.4,2
M,80460,9.9,1
S,99510,9.8,2
M,145409,8.8,1
M,289465,9.2,1
M,85216,8.8,1
S,88921,8.8,2
L,65144,5.5,0
M,103403,6.6,1
M,121368,5.2,1
L,168109,9.6,0
S,40616,5.9,2
S,176886,9.8,2
M,107548,9.7,1
S,313203,6.0,2
M,147571,5.0,1
M,239432,8.0,1
L,119559,5.9,0
S,72051,6.0,2
L,80766,7.2,0
M,75201,6.5,1
L,367330,6.1,0
S,99824,9.4,2
L,183643,9.9,0
L,86875,8.1,0
S,92050,5.0,2
S,188547,7.2,2
S,93400,5.7,2
M,121492,6.4,1
M,214716,7.4,1
S,96552,6.7,2
M,82126,6.3,1
L,101793,5.5,0
L,119593,6.3,0
M,83380,9.6,1
M,104077,6.8,1
M,107155,6.2,1
M,95613,8.3,1
S,79915,9.7,2
L,152836,5.8,0
M,201144,7.9,1
S,74068,5.9,2
S,94861,5.7,2
M,89534,7.5,1
L,121009,7.5,0
M,98503,7.1,1
L,92133,6.8,0
M,108765,8.9,1
M,93440,6.1,1
S,88745,9.5,2
M,105976,7.6,1
S,59221,5.3,2
L,61996,7.8,0
S,90426,6.2,2
S,60924,7.5,2
L,243192,9.0,0
L,166087,9.3,0
L,85173,5.6,0
L,309247,5.1,0
L,121556,5.2,0
L,89998,8.0,0
S,63415,5.4,2
M,132964,6.9,1
S,65099,5.1,2
L,170410,9.6,0
M,25440,6.4,1
L,173489,5.0,0
L,216939,5.8,0
S,117695,9.4,2
M,78936,9.0,1
L,113661,5.9,0
S,226030,9.8,2
S,162220,5.5,2
S,165689,9.5,2
S,319536,6.0,2
M,97294,7.9,1
L,94506,9.4,0
M,122519,7.3,1
S,61916,5.1,2
M,78823,5.2,1
L,111124,8.5,0
L,91289,8.5,0
L,195659,7.0,0
S,199412,8.1,2
L,202421,6.4,0
L,133682,8.0,0
L,205143,9.1,0
S,27765,9.3,2
M,170181,8.0,1
M,103167,8.0,1
L,194546,7.2,0
S,130072,5.4,2
L,39197,6.7,0
L,204421,8.5,0
L,112925,5.7,0
M,265788,5.4,1
L,98150,7.6,0
S,126741,5.9,2
M,75006,7.3,1
S,84346,7.5,2
M,48241,9.9,1
L,162681,9.8,0
S,125204,5.9,2
M,140001,6.5,1
L,162125,5.4,0
S,128132,6.2,2
L,225554,9.3,0
M,130639,6.9,1
S,66422,5.4,2
S,54625,5.7,2
M,135145,7.5,1
S,61177,6.8,2
L,74961,6.8,0
M,47280,9.4,1
S,141577,6.1,2
L,130504,8.4,0
S,107421,8.9,2
S,93042,5.2,2
L,168047,9.7,0
S,27281,7.1,2
M,99145,9.2,1
S,121002,8.6,2
M,259814,5.0,1
L,209072,7.0,0
M,50802,6.5,1
M,112292,8.7,1
L,255076,6.2,0
S,75393,5.1,2
L,96519,9.6,0
L,135767,8.7,0
L,169082,6.9,0
L,91630,5.6,0
M,172863,8.9,1
L,103897,8.9,0
L,93834,5.8,0
S,53634,7.3,2
L,127594,6.4,0
L,292915,8.2,0
S,174020,6.6,2
S,88526,7.6,2
M,74475,9.8,1
S,96427,7.3,2
S,225810,8.2,2
S,168512,6.5,2
M,168159,5.4,1
L,59148,7.1,0
L,65802,6.8,0
L,110206,6.5,0
L,149976,7.2,0
M,179731,7.2,1
S,148216,6.3,2
S,69697,6.1,2
S,193479,9.0,2
M,27327,8.8,1
L,175817,10.0,0
S,79605,9.9,2
M,136610,9.8,1
S,54165,7.0,2
S,82548,6.9,2
M,149033,9.1,1
M,26672,9.1,1
L,103610,6.4,0
M,59901,8.2,1
M,84403,5.6,1
M,235236,7.5,1
S,140841,5.2,2
M,64188,5.6,1
S,140677,5.2,2
L,275555,6.9,0
M,174133,9.6,1
M,49918,8.1,1
L,211602,7.3,0
L,192792,6.2,0
S,70846,9.4,2
M,93783,10.0,1
S,41072,6.6,2
M,102805,9.9,1
L,113537,8.1,0
M,73590,9.2,1
L,96582,9.1,0
M,62705,5.1,1
M,77955,7.0,1
S,129874,7.5,2
L,106907,7.3,0
L,110152,8.9,0
L,49922,8.8,0
L,84890,9.2,0
M,73564,7.5,1
L,196201,8.8,0
L,164425,5.6,0
L,158518,7.2,0
M,137246,8.4,1
L,222330,9.6,0
S,73721,5.2,2
M,125284,9.4,1
L,266424,5.2,0
S,158788,7.0,2
S,99628,5.1,2
S,52727,9.0,2
L,38473,7.9,0
M,64133,7.8,1
S,47110,8.4,2
L,71783,8.8,0
S,83829,8.3,2
S,91511,5.7,2
S,198095,9.5,2
S,119407,6.2,2
S,87493,6.5,2
S,121335,7.9,2
L,289174,8.5,0
L,154280,9.6,0
S,62297,7.4,2
L,114311,8.8,0
L,163458,7.4,0
L,107211,8.4,0
M,136382,6.1,1
S,249477,7.3,2
M,177617,8.0,1
M,66870,9.8,1
M,79882,6.2,1
M,114997,8.2,1
S,67556,6.6,2
M,50726,8.3,1
S,45956,6.6,2
S,29934,7.0,2
M,89070,8.1,1
L,123195,8.6,0
L,83392,7.3,0
S,241040,6.9,2
S,226924,8.1,2
M,28173,8.7,1
M,96863,7.6,1
L,126853,7.3,0
M,143421,9.5,1
S,20785,6.2,2
M,67394,9.1,1
L,93436,6.1,0
M,95063,9.6,1
M,167478,7.2,1
S,139198,9.1,2
L,215699,8.5,0
S,138827,9.4,2
M,79327,7.3,1
L,70002,9.0,0
L,85342,6.7,0
M,116683,5.3,1
S,127338,5.1,2
S,80026,6.7,2
L,119475,5.9,0
L,254552,5.6,0
M,118245,9.3,1
M,117254,9.3,1
L,256695,9.1,0
M,188203,9.4,1
S,191049,7.7,2
M,75973,7.7,1
M,205143,9.0,1
S,92600,6.1,2
L,307696,7.3,0
L,289667,6.6,0
S,104108,6.1,2
M,85459,6.6,1
M,48088,9.7,1
S,103764,9.4,2
M,135128,6.1,1
S,78044,7.9,2
M,77226,6.6,1
M,149651,7.9,1
L,183833,9.6,0
L,104425,5.7,0
S,163323,6.6,2
S,136850,7.2,2
S,133658,6.0,2
L,168161,5.8,0
M,87945,6.3,1
M,150603,9.6,1
M,41667,9.0,1
L,270857,7.5,0
M,70021,9.0,1
S,180120,9.4,2
S,109592,8.9,2
M,248395,7.6,1
S,166428,9.4,2
S,64110,7.7,2
M,89254,5.6,1
S,89632,8.9,2
S,94147,9.7,2
M,95536,5.3,1
S,128104,6.7,2
S,224736,6.5,2
L,132221,9.4,0
M,107463,6.3,1
M,200093,8.4,1
L,168952,5.9,0
S,223789,5.2,2
L,121814,9.6,0
S,188710,5.7,2
S,73645,9.6,2
S,167924,10.0,2
L,104995,5.9,0
M,319365,7.4,1
L,120902,7.2,0
M,93958,7.9,1
L,204959,6.1,0
M,45750,7.4,1
M,191169,5.6,1
L,187320,8.8,0
S,45995,8.3,2
S,189388,9.9,2
M,77764,8.0,1
L,70260,8.0,0
S,59125,7.7,2
S,85915,8.5,2
L,161147,6.3,0
M,145874,9.6,1
L,41928,7.1,0
S,244108,8.9,2
M,74765,6.6,1
S,111797,7.1,2
M,129173,9.1,1
S,109849,9.3,2
L,86314,9.2,0
L,134718,6.1,0
M,146659,8.3,1
M,207301,6.5,1
S,86551,8.8,2
L,101086,10.0,0
M,243742,8.4,1
S,45910,9.7,2
L,165181,6.7,0
S,47299,6.8,2
M,69234,5.0,1
L,95021,5.7,0
L,27279,6.5,0
S,74665,7.5,2
M,105569,6.9,1
M,75073,5.8,1
M,185794,7.1,1
S,222006,9.1,2
M,95988,9.6,1
M,75420,5.9,1
S,56066,9.1,2
S,34199,6.6,2
M,123046,6.8,1
L,155715,6.6,0
M,135052,6.2,1
L,139723,9.7,0
S,126789,5.9,2
S,51041,6.8,2
M,66473,7.9,1
L,82798,8.2,0
M,208808,5.3,1
M,85454,7.8,1
S,312926,6.5,2
L,112468,9.1,0
L,184835,6.7,0
L,114775,9.4,0
L,87755,6.4,0
S,226988,5.1,2
S,109751,7.1,2
M,110714,7.9,1
L,243320,5.8,0
M,137660,8.2,1
M,101137,10.0,1
M,76750,6.9,1
M,225610,7.1,1
S,250681,6.3,2
M,68073,5.4,1
S,83363,6.2,2
L,82241,9.9,0
L,70446,8.3,0
M,91327,5.6,1
L,39389,9.6,0
L,81525,5.8,0
S,64441,5.3,2
L,154936,5.5,0
L,252651,9.7,0
M,85211,6.7,1
S,75989,5.6,2
M,81874,8.5,1
L,159436,10.0,0
M,116597,8.9,1
M,123943,8.3,1
M,142168,7.3,1
L,145212,7.7,0
L,150880,6.0,0
M,78416,8.6,1
L,167446,5.7,0
S,136891,6.3,2
L,56186,7.5,0
L,89015,8.2,0
L,101256,6.8,0
M,223846,8.2,1
L,89705,8.3,0
L,173178,6.6,0
S,119123,9.7,2
L,205428,8.2,0
M,107614,7.6,1
M,96395,5.4,1
L,113420,7.3,0
L,186496,9.2,0
M,212359,8.3,1
L,48963,5.6,0
L,84644,5.7,0
L,129200,9.3,0
M,131449,7.4,1
L,37726,9.5,0
L,147408,6.5,0
S,68165,8.5,2
M,153774,6.7,1
S,139995,9.0,2
S,126306,8.8,2
S,142937,5.8,2
L,157493,5.9,0
S,81840,8.5,2
S,120340,9.3,2
