experience_level,years_experience,salary_usd,experience_level_encoded
EX,14,89070,1
SE,6,123195,3
MI,3,83392,2
EX,18,241040,1
EX,17,226924,1
EN,1,28173,0
MI,3,96863,2
EX,13,126853,1
SE,6,143421,3
EN,1,20785,0
EN,0,67394,0
MI,3,93436,2
MI,2,95063,2
EX,18,167478,1
SE,5,139198,3
EX,19,215699,1
EX,15,138827,1
EN,0,79327,0
EN,1,70002,0
EN,1,85342,0
SE,5,116683,3
EX,19,127338,1
SE,9,80026,3
EN,1,119475,0
EX,12,254552,1
SE,6,118245,3
SE,7,117254,3
EX,14,256695,1
EX,15,188203,1
EX,17,191049,1
EN,1,75973,0
EX,14,205143,1
SE,8,92600,3
EX,12,307696,1
EX,15,289667,1
SE,9,104108,3
EN,1,85459,0
EN,0,48088,0
SE,9,103764,3
SE,9,135128,3
MI,4,78044,2
MI,3,77226,2
EX,11,149651,1
EX,10,183833,1
MI,4,104425,2
EX,10,163323,1
EX,11,136850,1
SE,8,133658,3
SE,6,168161,3
MI,2,87945,2
SE,9,150603,3
MI,3,41667,2
EX,14,270857,1
EN,1,70021,0
EX,19,180120,1
SE,8,109592,3
EX,11,248395,1
EX,12,166428,1
EN,1,64110,0
MI,2,89254,2
SE,7,89632,3
MI,4,94147,2
EX,12,95536,1
SE,6,128104,3
EX,15,224736,1
MI,4,132221,2
SE,7,107463,3
EX,18,200093,1
SE,7,168952,3
EX,10,223789,1
SE,7,121814,3
EX,19,188710,1
MI,3,73645,2
EX,13,167924,1
MI,3,104995,2
EX,15,319365,1
SE,6,120902,3
MI,3,93958,2
EX,10,204959,1
MI,2,45750,2
EX,13,191169,1
EX,16,187320,1
SE,8,45995,3
EX,10,189388,1
EN,0,77764,0
EN,1,70260,0
EN,1,59125,0
EN,1,85915,0
SE,9,161147,3
EX,16,145874,1
MI,3,41928,2
EX,14,244108,1
EN,0,74765,0
SE,8,111797,3
SE,8,129173,3
SE,5,109849,3
EN,0,86314,0
MI,4,134718,2
SE,6,146659,3
EX,15,207301,1
MI,2,86551,2
MI,2,101086,2
EX,16,243742,1
EN,0,45910,0
EX,14,165181,1
EN,1,47299,0
EN,0,69234,0
MI,3,95021,2
EN,0,27279,0
EN,0,74665,0
SE,7,105569,3
EN,1,75073,0
EX,18,185794,1
EX,19,222006,1
MI,2,95988,2
EN,1,75420,0
EN,0,56066,0
MI,3,34199,2
SE,9,123046,3
SE,8,155715,3
MI,4,135052,2
SE,5,139723,3
SE,6,126789,3
EN,1,51041,0
EN,0,66473,0
EN,0,82798,0
EX,16,208808,1
EN,0,85454,0
EX,17,312926,1
EN,0,112468,0
EX,12,184835,1
SE,7,114775,3
MI,3,87755,2
EX,12,226988,1
SE,9,109751,3
EX,15,110714,1
EX,16,243320,1
SE,6,137660,3
MI,2,101137,2
EN,0,76750,0
EX,14,225610,1
EX,15,250681,1
EN,0,68073,0
MI,2,83363,2
EN,0,82241,0
EN,1,70446,0
EN,0,91327,0
MI,4,39389,2
EN,0,81525,0
EN,1,64441,0
SE,7,154936,3
EX,11,252651,1
MI,2,85211,2
MI,2,75989,2
MI,2,81874,2
SE,7,159436,3
SE,5,116597,3
SE,9,123943,3
SE,9,142168,3
MI,3,145212,2
SE,6,150880,3
MI,4,78416,2
EX,13,167446,1
EX,13,136891,1
EN,0,56186,0
MI,3,89015,2
MI,4,101256,2
EX,10,223846,1
MI,4,89705,2
EX,17,173178,1
SE,9,119123,3
EX,10,205428,1
SE,5,107614,3
SE,5,96395,3
EN,1,113420,0
EX,19,186496,1
EX,13,212359,1
SE,9,48963,3
MI,4,84644,2
MI,4,129200,2
SE,9,131449,3
EN,1,37726,0
SE,6,147408,3
EN,1,68165,0
EX,15,153774,1
EX,13,139995,1
SE,6,126306,3
SE,5,142937,3
SE,8,157493,3
EN,1,81840,0
MI,2,120340,2
MI,3,133498,2
EX,18,168321,1
SE,7,128450,3
EN,0,71869,0
MI,2,86340,2
EN,1,73047,0
MI,3,125916,2
SE,6,107722,3
MI,3,100220,2
EX,15,141420,1
SE,7,43276,3
SE,6,101313,3
EX,13,238881,1
SE,8,144471,3
MI,4,71781,2
MI,3,34334,2
EN,1,59699,0
EN,1,74398,0
MI,4,114132,2
EN,1,82988,0
MI,4,129184,2
SE,7,122761,3
EX,10,176080,1
MI,3,132322,2
EX,19,220734,1
EX,10,210396,1
SE,9,178095,3
EX,11,130897,1
EX,14,278652,1
EX,10,241681,1
MI,2,108165,2
SE,7,37809,3
SE,6,59161,3
EN,1,65717,0
EX,14,131415,1
SE,6,165177,3
SE,9,134710,3
SE,6,132331,3
EN,1,25085,0
EN,0,81436,0
SE,8,121581,3
MI,3,85043,2
EN,0,77847,0
SE,6,112294,3
SE,7,118482,3
EN,1,76423,0
MI,2,66969,2
MI,4,88996,2
EN,0,67741,0
EN,0,104123,0
EN,1,52117,0
EN,1,107002,0
EX,12,171421,1
SE,5,102160,3
EN,0,78797,0
SE,8,143483,3
SE,7,224567,3
SE,8,141545,3
EN,1,56427,0
MI,4,90510,2
EX,19,158669,1
EN,1,74539,0
SE,9,124395,3
EX,10,174114,1
EX,19,321202,1
MI,3,73469,2
SE,8,142197,3
EX,19,157699,1
SE,9,101213,3
MI,3,84729,2
EN,0,87739,0
EN,0,30121,0
MI,2,100916,2
EN,0,55277,0
MI,4,113420,2
EN,1,50194,0
EX,14,98859,1
SE,7,195373,3
SE,8,150038,3
EN,1,46960,0
EX,14,256508,1
MI,4,123766,2
SE,9,138655,3
MI,3,112307,2
EX,15,75008,1
MI,3,72038,2
SE,6,141038,3
SE,9,113496,3
SE,8,100144,3
EX,12,210470,1
MI,3,66974,2
SE,8,137007,3
MI,4,80135,2
SE,9,158546,3
EX,19,194317,1
MI,2,83493,2
EN,1,104222,0
MI,4,49854,2
EX,14,158519,1
SE,6,180734,3
EX,11,261993,1
SE,9,98054,3
MI,4,82903,2
MI,4,121557,2
SE,6,172640,3
SE,9,122704,3
EN,1,60832,0
EX,19,134265,1
EN,1,65618,0
SE,7,104745,3
EN,0,53253,0
EX,14,166691,1
EX,10,146267,1
SE,9,97969,3
EX,14,206614,1
MI,3,78327,2
EN,0,70510,0
SE,7,41791,3
MI,3,115800,2
SE,6,113860,3
SE,7,181595,3
EX,18,157567,1
MI,4,124885,2
EX,16,123910,1
SE,8,137838,3
EX,12,313735,1
EN,0,96380,0
